id,funding_round_id,funded_object_id,investor_object_id,,
807,495,c:601,f:310,,
808,496,c:601,f:48,,
809,496,c:601,f:311,,
810,496,c:601,f:310,,
811,496,c:601,f:183,,
812,496,c:601,f:312,,
813,497,c:607,f:313,,
814,497,c:607,f:507,,
815,499,c:616,f:227,,
816,500,c:617,f:248,,
817,500,c:617,f:510,,
818,501,c:617,f:94,,
819,501,c:617,f:248,,
820,501,c:617,f:510,,
821,503,c:620,f:315,,
822,504,c:619,f:2,,
823,505,c:619,f:2,,
824,506,c:619,f:2,,
825,506,c:619,f:2948,,
826,508,c:624,f:318,,
827,508,c:624,f:317,,
828,508,c:624,f:316,,
829,508,c:624,f:273,,
830,510,c:626,f:319,,
831,511,c:627,f:320,,
832,512,c:630,f:42,,
833,512,c:630,f:51,,
834,512,c:630,f:1047,,
835,514,c:632,f:17,,
836,516,c:635,f:696,,
837,518,c:637,f:123,,
838,519,c:639,f:321,,
839,521,c:659,f:323,,
840,522,c:661,f:105,,
841,523,c:651,f:133,,
842,523,c:651,f:184,,
843,524,c:668,f:160,,
844,524,c:668,f:316,,
845,524,c:668,f:2831,,
846,524,c:668,f:3181,,
847,525,c:662,f:325,,
848,525,c:662,f:8892,,
849,526,c:673,f:286,,
850,526,c:673,f:3,,
851,533,c:684,f:328,,
852,533,c:684,f:327,,
853,533,c:684,f:329,,
854,533,c:684,f:330,,
855,534,c:685,f:12,,
856,534,c:685,f:173,,
857,536,c:685,f:12,,
858,537,c:251,f:24,,
859,537,c:251,f:26,,
860,537,c:251,f:242,,
861,537,c:251,f:30,,
862,537,c:251,f:61,,
863,540,c:687,f:4,,
864,541,c:21,f:243,,
865,542,c:687,f:4,,
866,543,c:963,f:26,,
867,543,c:963,f:36,,
868,543,c:963,f:154,,
869,544,c:698,f:74,,
870,547,c:148,f:94,,
871,547,c:148,f:99,,
872,551,c:701,f:96,,
873,551,c:701,f:3181,,
874,552,c:700,f:331,,
875,553,c:702,f:562,,
876,554,c:703,f:274,,
877,554,c:703,f:105,,
878,556,c:710,f:333,,
879,556,c:710,f:334,,
880,558,c:711,f:248,,
881,559,c:705,f:173,,
882,559,c:705,f:332,,
883,561,c:715,f:336,,
884,561,c:715,f:335,,
885,561,c:715,f:1396,,
886,562,c:717,f:338,,
887,564,c:718,f:1,,
888,564,c:718,f:13,,
889,565,c:720,f:339,,
890,566,c:721,f:340,,
891,566,c:721,f:191,,
892,566,c:721,f:649,,
893,569,c:726,f:4,,
894,569,c:726,f:17,,
895,569,c:726,f:3181,,
896,570,c:726,f:17,,
897,572,c:129,f:346,,
898,572,c:129,f:177,,
899,573,c:742,f:26,,
900,573,c:742,f:347,,
901,573,c:742,f:192,,
902,574,c:742,f:26,,
903,574,c:742,f:347,,
904,574,c:742,f:192,,
905,578,c:751,f:129,,
906,580,c:751,f:356,,
907,583,c:757,f:17,,
908,584,c:760,f:361,,
909,584,c:760,f:249,,
910,584,c:760,f:258,,
911,585,c:760,f:133,,
912,585,c:760,f:249,,
913,585,c:760,f:258,,
914,586,c:763,f:32,,
915,588,c:767,f:31,,
916,589,c:959,f:48,,
917,589,c:959,f:279,,
918,591,c:778,f:250,,
919,593,c:792,f:368,,
920,594,c:865,f:4,,
921,594,c:865,f:13,,
922,594,c:865,f:397,,
923,595,c:797,f:370,,
924,596,c:803,f:139,,
925,596,c:803,f:371,,
926,596,c:803,f:10,,
927,596,c:803,f:372,,
928,597,c:804,f:373,,
929,597,c:804,f:374,,
930,598,c:806,f:137,,
931,599,c:807,f:375,,
932,599,c:807,f:376,,
933,599,c:807,f:28,,
934,601,c:809,f:7017,,
935,602,c:810,f:378,,
936,602,c:810,f:180,,
937,604,c:1673,f:379,,
938,605,c:813,f:4,,
939,605,c:813,f:380,,
940,605,c:813,f:507,,
941,607,c:815,f:382,,
942,607,c:815,f:381,,
943,607,c:815,f:34,,
944,610,c:819,f:48,,
945,610,c:819,f:62,,
946,612,c:821,f:4,,
947,612,c:821,f:166,,
948,612,c:821,f:173,,
949,613,c:824,f:139,,
950,614,c:828,f:386,,
951,615,c:1639,f:366,,
952,615,c:1639,f:23,,
953,615,c:1639,f:654,,
954,616,c:1639,f:23,,
955,616,c:1639,f:249,,
956,617,c:829,f:387,,
957,618,c:1313,f:530,,
958,619,c:830,f:388,,
959,621,c:832,f:391,,
960,621,c:832,f:390,,
961,621,c:832,f:389,,
962,621,c:832,f:45,,
963,621,c:832,f:12581,,
964,623,c:141,f:24,,
965,623,c:141,f:29,,
966,623,c:141,f:392,,
967,623,c:141,f:97,,
968,624,c:836,f:110,,
969,626,c:846,f:116,,
970,628,c:344,f:131,,
971,628,c:344,f:218,,
972,628,c:344,f:219,,
973,628,c:344,f:220,,
974,628,c:344,f:221,,
975,628,c:344,f:222,,
976,629,c:344,f:131,,
977,629,c:344,f:218,,
978,629,c:344,f:219,,
979,629,c:344,f:220,,
980,629,c:344,f:221,,
981,629,c:344,f:222,,
982,630,c:857,f:83,,
